Datum,Bundesland,Bundesland_Id,Altersgruppe,7T_Hospitalisierung_Faelle,7T_Hospitalisierung_Inzidenz
2021-11-18,Mecklenburg-Vorpommern,13,00-04,1,1.51
2021-11-18,Mecklenburg-Vorpommern,13,00+,112,6.95
2021-11-18,Mecklenburg-Vorpommern,13,05-14,4,2.85
2021-11-18,Mecklenburg-Vorpommern,13,15-34,0,0
2021-11-18,Mecklenburg-Vorpommern,13,35-59,16,2.89
2021-11-18,Mecklenburg-Vorpommern,13,60-79,40,9.5
2021-11-18,Mecklenburg-Vorpommern,13,80+,51,38.23
2021-11-18,Sachsen,14,00-04,10,5.54
2021-11-18,Sachsen,14,00+,168,4.14
2021-11-18,Sachsen,14,05-14,6,1.64
2021-11-18,Sachsen,14,15-34,5,0.64
2021-11-18,Sachsen,14,35-59,18,1.33
2021-11-18,Sachsen,14,60-79,62,6.13
2021-11-18,Sachsen,14,80+,67,18.51
2021-11-18,Sachsen-Anhalt,15,00-04,5,5.68
2021-11-18,Sachsen-Anhalt,15,00+,271,12.43
2021-11-18,Sachsen-Anhalt,15,05-14,7,3.83
2021-11-18,Sachsen-Anhalt,15,15-34,17,4.32
2021-11-18,Sachsen-Anhalt,15,35-59,61,8.23
2021-11-18,Sachsen-Anhalt,15,60-79,88,15.06
2021-11-18,Sachsen-Anhalt,15,80+,93,48.61
2021-11-18,Thüringen,16,00-04,8,9.13
2021-11-18,Thüringen,16,00+,431,20.33
2021-11-18,Thüringen,16,05-14,7,3.8
2021-11-18,Thüringen,16,15-34,29,7.49
2021-11-18,Thüringen,16,35-59,68,9.41
2021-11-18,Thüringen,16,60-79,161,28.78
2021-11-18,Thüringen,16,80+,157,87.63
2021-11-17,Bundesgebiet,00,00-04,102,2.57
2021-11-17,Bundesgebiet,00,00+,5606,6.74
2021-11-17,Bundesgebiet,00,05-14,119,1.58
2021-11-17,Bundesgebiet,00,15-34,478,2.53
2021-11-17,Bundesgebiet,00,35-59,1187,4.14
2021-11-17,Bundesgebiet,00,60-79,1930,10.63
2021-11-17,Bundesgebiet,00,80+,1787,30.1
2021-11-17,Schleswig-Holstein,01,00-04,3,2.32
2021-11-17,Schleswig-Holstein,01,00+,109,3.74
2021-11-17,Schleswig-Holstein,01,05-14,9,3.45
2021-11-17,Schleswig-Holstein,01,15-34,7,1.11
2021-11-17,Schleswig-Holstein,01,35-59,21,2.08
2021-11-17,Schleswig-Holstein,01,60-79,42,6.34
2021-11-17,Schleswig-Holstein,01,80+,27,12.25
2021-11-17,Hamburg,02,00-04,1,1.01
2021-11-17,Hamburg,02,00+,53,2.86
2021-11-17,Hamburg,02,05-14,1,0.6
2021-11-17,Hamburg,02,15-34,2,0.41
2021-11-17,Hamburg,02,35-59,10,1.53
2021-11-17,Hamburg,02,60-79,19,5.83
2021-11-17,Hamburg,02,80+,20,17.77
2021-11-17,Niedersachsen,03,00-04,3,0.79
2021-11-17,Niedersachsen,03,00+,214,2.67
2021-11-17,Niedersachsen,03,05-14,4,0.55
2021-11-17,Niedersachsen,03,15-34,23,1.27
2021-11-17,Niedersachsen,03,35-59,37,1.36
2021-11-17,Niedersachsen,03,60-79,65,3.67
2021-11-17,Niedersachsen,03,80+,82,14.13
2021-11-17,Bremen,04,00-04,0,0
2021-11-17,Bremen,04,00+,33,4.85
2021-11-17,Bremen,04,05-14,2,3.33
2021-11-17,Bremen,04,15-34,7,4.05
2021-11-17,Bremen,04,35-59,10,4.44
2021-11-17,Bremen,04,60-79,7,4.99
2021-11-17,Bremen,04,80+,7,14.78
2021-11-17,Nordrhein-Westfalen,05,00-04,23,2.64
2021-11-17,Nordrhein-Westfalen,05,00+,918,5.12
2021-11-17,Nordrhein-Westfalen,05,05-14,15,0.91
2021-11-17,Nordrhein-Westfalen,05,15-34,119,2.84
2021-11-17,Nordrhein-Westfalen,05,35-59,201,3.27
2021-11-17,Nordrhein-Westfalen,05,60-79,294,7.69
2021-11-17,Nordrhein-Westfalen,05,80+,266,21.06
2021-11-17,Hessen,06,00-04,9,2.95
2021-11-17,Hessen,06,00+,362,5.75
2021-11-17,Hessen,06,05-14,10,1.73
2021-11-17,Hessen,06,15-34,46,3.12
2021-11-17,Hessen,06,35-59,81,3.69
2021-11-17,Hessen,06,60-79,119,9.01
2021-11-17,Hessen,06,80+,97,22.98
2021-11-17,Rheinland-Pfalz,07,00-04,2,1.03
2021-11-17,Rheinland-Pfalz,07,00+,186,4.54
2021-11-17,Rheinland-Pfalz,07,05-14,6,1.65
2021-11-17,Rheinland-Pfalz,07,15-34,13,1.42
2021-11-17,Rheinland-Pfalz,07,35-59,48,3.42
2021-11-17,Rheinland-Pfalz,07,60-79,66,7.14
2021-11-17,Rheinland-Pfalz,07,80+,51,17.38
2021-11-17,Baden-Württemberg,08,00-04,6,1.09
2021-11-17,Baden-Württemberg,08,00+,829,7.47
2021-11-17,Baden-Württemberg,08,05-14,13,1.27
2021-11-17,Baden-Württemberg,08,15-34,59,2.21
2021-11-17,Baden-Württemberg,08,35-59,205,5.36
2021-11-17,Baden-Württemberg,08,60-79,282,12.33
2021-11-17,Baden-Württemberg,08,80+,262,34.84
2021-11-17,Bayern,09,00-04,24,3.72
2021-11-17,Bayern,09,00+,1506,11.46
2021-11-17,Bayern,09,05-14,19,1.62
2021-11-17,Bayern,09,15-34,109,3.51
2021-11-17,Bayern,09,35-59,331,7.19
2021-11-17,Bayern,09,60-79,539,19.64
2021-11-17,Bayern,09,80+,484,55.53
2021-11-17,Saarland,10,00-04,1,2.42
2021-11-17,Saarland,10,00+,33,3.35
2021-11-17,Saarland,10,05-14,2,2.5
2021-11-17,Saarland,10,15-34,1,0.47
2021-11-17,Saarland,10,35-59,9,2.73
2021-11-17,Saarland,10,60-79,9,3.7
2021-11-17,Saarland,10,80+,11,14.09
2021-11-17,Berlin,11,00-04,1,0.52
2021-11-17,Berlin,11,00+,142,3.88
2021-11-17,Berlin,11,05-14,8,2.41
2021-11-17,Berlin,11,15-34,24,2.53
2021-11-17,Berlin,11,35-59,21,1.65
2021-11-17,Berlin,11,60-79,47,6.77
2021-11-17,Berlin,11,80+,41,18.53
2021-11-17,Brandenburg,12,00-04,1,0.92
2021-11-17,Brandenburg,12,00+,106,4.19
2021-11-17,Brandenburg,12,05-14,4,1.74
2021-11-17,Brandenburg,12,15-34,9,2.06
2021-11-17,Brandenburg,12,35-59,25,2.75
2021-11-17,Brandenburg,12,60-79,35,5.47
2021-11-17,Brandenburg,12,80+,32,15.34
2021-11-17,Mecklenburg-Vorpommern,13,00-04,1,1.51
2021-11-17,Mecklenburg-Vorpommern,13,00+,122,7.57
2021-11-17,Mecklenburg-Vorpommern,13,05-14,5,3.56
2021-11-17,Mecklenburg-Vorpommern,13,15-34,1,0.34
2021-11-17,Mecklenburg-Vorpommern,13,35-59,20,3.61
2021-11-17,Mecklenburg-Vorpommern,13,60-79,38,9.02
2021-11-17,Mecklenburg-Vorpommern,13,80+,57,42.72
2021-11-17,Sachsen,14,00-04,12,6.65
2021-11-17,Sachsen,14,00+,259,6.38
2021-11-17,Sachsen,14,05-14,10,2.74
2021-11-17,Sachsen,14,15-34,11,1.4
2021-11-17,Sachsen,14,35-59,31,2.29
2021-11-17,Sachsen,14,60-79,91,9
2021-11-17,Sachsen,14,80+,104,28.73
2021-11-17,Sachsen-Anhalt,15,00-04,6,6.81
2021-11-17,Sachsen-Anhalt,15,00+,265,12.15
2021-11-17,Sachsen-Anhalt,15,05-14,4,2.19
2021-11-17,Sachsen-Anhalt,15,15-34,18,4.58
2021-11-17,Sachsen-Anhalt,15,35-59,62,8.37
2021-11-17,Sachsen-Anhalt,15,60-79,89,15.23
2021-11-17,Sachsen-Anhalt,15,80+,86,44.95
2021-11-17,Thüringen,16,00-04,9,10.27
2021-11-17,Thüringen,16,00+,469,22.12
2021-11-17,Thüringen,16,05-14,7,3.8
2021-11-17,Thüringen,16,15-34,29,7.49
2021-11-17,Thüringen,16,35-59,75,10.38
2021-11-17,Thüringen,16,60-79,188,33.61
2021-11-17,Thüringen,16,80+,160,89.3
2021-11-16,Bundesgebiet,00,00-04,107,2.7
2021-11-16,Bundesgebiet,00,00+,5888,7.08
2021-11-16,Bundesgebiet,00,05-14,115,1.53
2021-11-16,Bundesgebiet,00,15-34,488,2.58
2021-11-16,Bundesgebiet,00,35-59,1302,4.54
2021-11-16,Bundesgebiet,00,60-79,2034,11.2
2021-11-16,Bundesgebiet,00,80+,1839,30.98
2021-11-16,Schleswig-Holstein,01,00-04,2,1.54
2021-11-16,Schleswig-Holstein,01,00+,122,4.19
2021-11-16,Schleswig-Holstein,01,05-14,9,3.45
2021-11-16,Schleswig-Holstein,01,15-34,7,1.11
2021-11-16,Schleswig-Holstein,01,35-59,28,2.78
2021-11-16,Schleswig-Holstein,01,60-79,46,6.95
2021-11-16,Schleswig-Holstein,01,80+,30,13.62
2021-11-16,Hamburg,02,00-04,1,1.01
2021-11-16,Hamburg,02,00+,69,3.72
2021-11-16,Hamburg,02,05-14,2,1.2
2021-11-16,Hamburg,02,15-34,5,1.01
2021-11-16,Hamburg,02,35-59,16,2.45
2021-11-16,Hamburg,02,60-79,25,7.67
2021-11-16,Hamburg,02,80+,20,17.77
2021-11-16,Niedersachsen,03,00-04,3,0.79
2021-11-16,Niedersachsen,03,00+,228,2.85
2021-11-16,Niedersachsen,03,05-14,4,0.55
2021-11-16,Niedersachsen,03,15-34,23,1.27
2021-11-16,Niedersachsen,03,35-59,47,1.72
2021-11-16,Niedersachsen,03,60-79,63,3.56
2021-11-16,Niedersachsen,03,80+,88,15.17
2021-11-16,Bremen,04,00-04,0,0
2021-11-16,Bremen,04,00+,31,4.56
2021-11-16,Bremen,04,05-14,1,1.66
2021-11-16,Bremen,04,15-34,7,4.05
2021-11-16,Bremen,04,35-59,10,4.44
2021-11-16,Bremen,04,60-79,6,4.28
2021-11-16,Bremen,04,80+,7,14.78
2021-11-16,Nordrhein-Westfalen,05,00-04,24,2.76
2021-11-16,Nordrhein-Westfalen,05,00+,929,5.18
2021-11-16,Nordrhein-Westfalen,05,05-14,15,0.91
2021-11-16,Nordrhein-Westfalen,05,15-34,105,2.51
2021-11-16,Nordrhein-Westfalen,05,35-59,207,3.37
2021-11-16,Nordrhein-Westfalen,05,60-79,302,7.9
2021-11-16,Nordrhein-Westfalen,05,80+,276,21.85
2021-11-16,Hessen,06,00-04,9,2.95
2021-11-16,Hessen,06,00+,378,6.01
2021-11-16,Hessen,06,05-14,9,1.56
2021-11-16,Hessen,06,15-34,43,2.92
2021-11-16,Hessen,06,35-59,90,4.1
2021-11-16,Hessen,06,60-79,117,8.86
2021-11-16,Hessen,06,80+,110,26.06
2021-11-16,Rheinland-Pfalz,07,00-04,4,2.06
2021-11-16,Rheinland-Pfalz,07,00+,200,4.88
2021-11-16,Rheinland-Pfalz,07,05-14,6,1.65
2021-11-16,Rheinland-Pfalz,07,15-34,17,1.85
2021-11-16,Rheinland-Pfalz,07,35-59,47,3.35
2021-11-16,Rheinland-Pfalz,07,60-79,68,7.35
2021-11-16,Rheinland-Pfalz,07,80+,58,19.77
2021-11-16,Baden-Württemberg,08,00-04,6,1.09
2021-11-16,Baden-Württemberg,08,00+,876,7.89
2021-11-16,Baden-Württemberg,08,05-14,17,1.67
2021-11-16,Baden-Württemberg,08,15-34,71,2.66
2021-11-16,Baden-Württemberg,08,35-59,225,5.88
2021-11-16,Baden-Württemberg,08,60-79,289,12.64
